019839~002~5744501~Jan 6, 2009~~~U-461~
019839~002~5789449~Jan 6, 2009~~~U-460~
019839~003~4962128~Nov 2, 2009~~~U-152~
019839~003~4962128*PED~May 2, 2010~~~U-152~
019839~003~5248699~Aug 13, 2012~~~~
019839~003~5248699*PED~Feb 13, 2013~~~~
019839~003~5744501~Jan 6, 2009~~~U-461~
019839~003~5789449~Jan 6, 2009~~~U-460~
019839~004~4962128~Nov 2, 2009~~~U-152~
019839~004~4962128*PED~May 2, 2010~~~U-152~
019839~004~5248699~Aug 13, 2012~~~~
019839~004~5248699*PED~Feb 13, 2013~~~~
010971~003~5210081~Feb 26, 2012~~~~
010971~005~5210081~Feb 26, 2012~~~~
011522~007~6384020~Jul 6, 2020~~~~
011522~007~6384020*PED~Jan 6, 2021~~~~
011522~008~6384020~Jul 6, 2020~~~~
011522~008~6384020*PED~Jan 6, 2021~~~~
011522~009~6384020~Jul 6, 2020~~~~
011522~009~6384020*PED~Jan 6, 2021~~~~
011522~010~6384020~Jul 6, 2020~~~~
011522~010~6384020*PED~Jan 6, 2021~~~~
011522~011~6384020~Jul 6, 2020~~~~
011522~011~6384020*PED~Jan 6, 2021~~~~
011522~012~6384020~Jul 6, 2020~~~~
011522~012~6384020*PED~Jan 6, 2021~~~~
011522~013~6384020~Jul 6, 2020~~~~
011522~013~6384020*PED~Jan 6, 2021~~~~
012827~001~7091236~Aug 20, 2023~~~U-877~
012827~002~7091236~Aug 20, 2023~~~U-877~
013217~001~6407128~Dec 3, 2021~~~U-189~
013217~001~6683102~Dec 3, 2021~~~U-189~
013217~003~6407128~Dec 3, 2021~~~U-189~
013217~003~6683102~Dec 3, 2021~~~U-189~
013718~001~5872147~Dec 5, 2017~~~U-585~
013718~001~6090799~Jul 18, 2017~~~U-585~
013718~001~6576659~Dec 5, 2017~~~U-585~
013718~001~6670351~Oct 20, 2012~~~U-585~
013718~001~6828313~Dec 5, 2017~~~U-585~
013718~002~5872147~Dec 5, 2017~~~U-585~
013718~002~6090799~Jul 18, 2017~~~U-585~
013718~002~6576659~Dec 5, 2017~~~U-585~
013718~002~6670351~Oct 20, 2012~~~U-585~
013718~002~6828313~Dec 5, 2017~~~U-585~
017697~001~6803046~Aug 16, 2022~~Y~~
017922~001~5500413~Jun 29, 2013~~~~
017922~001~5674850~Dec 23, 2013~~~~
017922~001~5763407~Jun 29, 2013~~~~
017922~002~5500413~Jun 29, 2013~~~~
017922~002~5674850~Dec 23, 2013~~~~
017922~002~5763407~Jun 29, 2013~~~~
017922~003~5482931~Jun 29, 2013~~~~
017922~003~5500413~Jun 29, 2013~~~~
017922~003~5674850~Dec 23, 2013~~~~
017922~003~5763407~Jun 29, 2013~~~~
018163~003~5030632~Jul 9, 2008~~~U-70~
018163~003~5211954~May 18, 2010~~~~
018163~003~5326758~Jul 9, 2008~~~U-70~
018276~004~5061494~Dec 12, 2008~~~~
018343~001~5238924~Aug 24, 2010~~~U-92~
018343~002~5238924~Aug 24, 2010~~~U-92~
018343~003~5238924~Aug 24, 2010~~~U-92~
018343~004~5238924~Aug 24, 2010~~~U-92~
018343~005~5238924~Aug 24, 2010~~~U-92~
018343~006~5238924~Aug 24, 2010~~~U-92~
018343~007~5238924~Aug 24, 2010~~~U-92~
018651~001~6703418~Feb 26, 2011~~~U-563~
018651~002~6703418~Feb 26, 2011~~~U-563~
018651~003~6703418~Feb 26, 2011~~~U-563~
018658~001~5980882~Apr 16, 2017~~Y~~
018705~002~5186925~Mar 6, 2011~~Y~~
018723~001~4988731~Jan 29, 2008~~~~
018723~001~4988731*PED~Jul 29, 2008~~~~
018723~001~5212326~Jan 29, 2008~~~~
018723~001~5212326*PED~Jul 29, 2008~~~~
018723~002~4988731~Jan 29, 2008~~~~
018723~002~4988731*PED~Jul 29, 2008~~~~
018723~002~5212326~Jan 29, 2008~~~~
018723~002~5212326*PED~Jul 29, 2008~~~~
018723~003~4988731~Jan 29, 2008~~~~
018723~003~4988731*PED~Jul 29, 2008~~~~
018723~003~5212326~Jan 29, 2008~~~~
018723~003~5212326*PED~Jul 29, 2008~~~~
018859~001~6150337~Nov 21, 2017~~~U-400~
018874~001~6051567~Aug 2, 2019~~~~
018874~001~6051567*PED~Feb 2, 2020~~~~
018874~001~6265392~Aug 2, 2019~~~~
018874~001~6265392*PED~Feb 2, 2020~~~~
018874~001~6274169~Aug 2, 2019~~~~
018874~001~6274169*PED~Feb 2, 2020~~~~
018874~002~6051567~Aug 2, 2019~~~~
018874~002~6051567*PED~Feb 2, 2020~~~~
018874~002~6265392~Aug 2, 2019~~~~
018874~002~6265392*PED~Feb 2, 2020~~~~
018874~002~6274169~Aug 2, 2019~~~~
018874~002~6274169*PED~Feb 2, 2020~~~~
018936~007~4971998~Nov 20, 2007~~~U-338~
018936~007~4971998*PED~May 20, 2008~~~U-338~
018936~007~5114976~May 19, 2009~~~U-341~
018936~007~5114976*PED~Nov 19, 2009~~~U-341~
018936~007~5744501~May 19, 2009~~~U-342~
018936~007~5744501*PED~Nov 19, 2009~~~U-342~
018936~008~4971998~Nov 20, 2007~~~U-338~
018936~008~4971998*PED~May 20, 2008~~~U-338~
018936~008~5114976~May 19, 2009~~~U-341~
018936~008~5114976*PED~Nov 19, 2009~~~U-341~
018936~008~5744501~May 19, 2009~~~U-342~
018936~008~5744501*PED~Nov 19, 2009~~~U-342~
018938~001~5500413~Jun 29, 2013~~~~
018938~001~5763407~Jun 29, 2013~~~~
018938~002~5500413~Jun 29, 2013~~~~
018938~002~5763407~Jun 29, 2013~~~~
019034~001~6589960~Nov 9, 2020~~Y~~
019034~002~6589960~Nov 9, 2020~~Y~~
019057~001~5212176~Jun 29, 2010~~~~
019057~001~5294615~Apr 29, 2013~~~U-165~
019057~001~5294615~Apr 29, 2013~~~U-3~
019057~001~5412095~Apr 29, 2013~~~~
019057~002~5212176~Jun 29, 2010~~~~
019057~002~5294615~Apr 29, 2013~~~U-165~
019057~002~5294615~Apr 29, 2013~~~U-3~
019057~002~5412095~Apr 29, 2013~~~~
019057~003~5212176~Jun 29, 2010~~~~
019057~003~5294615~Apr 29, 2013~~~U-165~
019057~003~5294615~Apr 29, 2013~~~U-3~
019057~003~5412095~Apr 29, 2013~~~~
019057~004~5212176~Jun 29, 2010~~~~
019057~004~5294615~Apr 29, 2013~~~U-165~
019057~004~5294615~Apr 29, 2013~~~U-3~
019057~004~5412095~Apr 29, 2013~~~~
019304~002~4895726~Jan 19, 2009~~~~
019304~003~4895726~Jan 19, 2009~~~~
019304~004~4895726~Jan 19, 2009~~~~
019385~001~4797405~Oct 26, 2007~~~~
019385~001~5114948~Oct 19, 2009~~~~
019385~002~4797405~Oct 26, 2007~~~~
019385~002~5114948~Oct 19, 2009~~~~
019385~003~4797405~Oct 26, 2007~~~~
019385~003~5114948~Oct 19, 2009~~~~
019386~001~5017609~May 21, 2008~~~~
019386~001~6310094~Jan 12, 2021~~~~
019386~002~5017609~May 21, 2008~~~~
019386~002~5017609*PED~Nov 21, 2008~~~~
019386~003~5017609~May 21, 2008~~~~
019386~003~5017609*PED~Nov 21, 2008~~~~
019386~004~6310094~Jan 12, 2021~~~~
019386~004~6310094*PED~Jul 12, 2021~~~~
019386~004~6528540~Jan 12, 2021~~~~
019386~004~6528540*PED~Jul 12, 2021~~~~
019386~005~6310094~Jan 12, 2021~~~~
019386~005~6310094*PED~Jul 12, 2021~~~~
019386~005~6528540~Jan 12, 2021~~~~
019386~005~6528540*PED~Jul 12, 2021~~~~
019386~006~6310094~Jan 12, 2021~~~~
019839~004~5744501~Jan 6, 2009~~~U-461~
019839~004~5789449~Jan 6, 2009~~~U-460~
019839~005~4962128~Nov 2, 2009~~~U-152~
019839~005~4962128*PED~May 2, 2010~~~U-152~
019839~005~5248699~Aug 13, 2012~~~~
019839~005~5248699*PED~Feb 13, 2013~~~~
019839~005~5744501~Jan 6, 2009~~~U-461~
019839~005~5789449~Jan 6, 2009~~~U-460~
019842~001~5374659~Dec 20, 2011~~~~
019842~001~5374659*PED~Jun 20, 2012~~~~
019845~001~4911920*PED~Sep 27, 2007~~~~
019857~001~4957922~Sep 18, 2007~~~~
019857~001~4957922*PED~Mar 18, 2008~~~~
019858~001~4957922~Sep 18, 2007~~~~
019858~001~4957922*PED~Mar 18, 2008~~~~
019872~001~4820522~Jul 27, 2007~~~~
019872~001~4968509~Nov 6, 2007~~~~
019872~001~5004613~Jul 27, 2007~~~~
019881~001~5266329~Nov 30, 2010~~~U-457~
019884~001~5696172~Oct 6, 2013~~~~
019885~001~4743450*PED~Aug 24, 2007~~~~
019885~001~5684016~Nov 4, 2014~~~U-210~
019885~001~5684016*PED~May 4, 2015~~~U-210~
019885~002~4743450*PED~Aug 24, 2007~~~~
019885~002~5684016~Nov 4, 2014~~~U-210~
019885~002~5684016*PED~May 4, 2015~~~U-210~
019885~003~4743450*PED~Aug 24, 2007~~~~
019885~003~5684016~Nov 4, 2014~~~U-210~
019885~003~5684016*PED~May 4, 2015~~~U-210~
019885~004~4743450*PED~Aug 24, 2007~~~~
019885~004~5684016~Nov 4, 2014~~~U-210~
019885~004~5684016*PED~May 4, 2015~~~U-210~
019891~001~6589960~Nov 9, 2020~~Y~~
019892~001~6589960~Nov 9, 2020~~Y~~
019892~002~6589960~Nov 9, 2020~~Y~~
019892~003~6589960~Nov 9, 2020~~Y~~
019898~002~5030447~Jul 9, 2008~~~~
019898~002~5030447*PED~Jan 9, 2009~~~~
019898~002~5180589~Jul 9, 2008~~~~
019898~002~5180589*PED~Jan 9, 2009~~~~
019898~002~5622985~Apr 22, 2014~~~U-335~
019898~002~5622985*PED~Oct 22, 2014~~~U-335~
019898~003~5030447~Jul 9, 2008~~~~
019898~003~5030447*PED~Jan 9, 2009~~~~
019898~003~5180589~Jul 9, 2008~~~~
019898~003~5180589*PED~Jan 9, 2009~~~~
019898~003~5622985~Apr 22, 2014~~~U-335~
019898~003~5622985*PED~Oct 22, 2014~~~U-335~
019898~004~5030447~Jul 9, 2008~~~~
019898~004~5030447*PED~Jan 9, 2009~~~~
019898~004~5180589~Jul 9, 2008~~~~
019898~004~5180589*PED~Jan 9, 2009~~~~
019898~004~5622985~Apr 22, 2014~~~U-335~
